Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-5.080e-04,-0.76,-0.86
-5.060e-04,-0.76,-0.68
-5.041e-04,-0.78,-1
-5.022e-04,-0.84,-0.72
-5.003e-04,-0.96,-1.02
-4.984e-04,-0.92,-0.86
-4.964e-04,-0.98,-1.06
-4.945e-04,-0.94,-0.86
-4.926e-04,-1.02,-1.04
-4.907e-04,-0.88,-0.8
-4.888e-04,-0.82,-0.96
-4.868e-04,-0.86,-0.76
-4.849e-04,-0.88,-0.94
-4.830e-04,-0.84,-0.76
-4.811e-04,-0.84,-0.94
-4.792e-04,-0.9,-0.74
-4.772e-04,-0.74,-0.88
-4.753e-04,-0.84,-0.74
-4.734e-04,-0.78,-0.9
-4.715e-04,-0.84,-0.76
-4.696e-04,-0.82,-0.9
-4.676e-04,-0.82,-0.72
-4.657e-04,-0.76,-0.84
-4.638e-04,-0.72,-0.64
-4.619e-04,-0.7,-0.88
-4.600e-04,-0.8,-0.66
-4.580e-04,-0.76,-0.8
-4.561e-04,-0.7,-0.66
-4.542e-04,-0.76,-0.84
-4.523e-04,-0.74,-0.66
-4.504e-04,-0.82,-0.84
-4.484e-04,-0.72,-0.7
-4.465e-04,-0.8,-0.9
-4.446e-04,-0.8,-0.76
-4.427e-04,-0.84,-0.9
-4.408e-04,-0.78,-0.72
-4.388e-04,-0.78,-0.88
-4.369e-04,-0.82,-0.74
-4.350e-04,-0.78,-0.86
-4.331e-04,-0.76,-0.66
-4.312e-04,-0.76,-0.88
-4.292e-04,-0.84,-0.74
-4.273e-04,-0.76,-0.9
-4.254e-04,-0.82,-0.74
-4.235e-04,-0.84,-0.9
-4.216e-04,-0.82,-0.74
-4.196e-04,-0.8,-0.84
-4.177e-04,-0.76,-0.6
-4.158e-04,-0.7,-0.8
-4.139e-04,-0.72,-0.64
-4.120e-04,-0.7,-0.82
-4.100e-04,-0.68,-0.62
-4.081e-04,-0.78,-0.82
-4.062e-04,-0.74,-0.7
-4.043e-04,-0.8,-0.84
-4.024e-04,-0.7,-0.66
-4.004e-04,-0.84,-0.92
-3.985e-04,-0.76,-0.74
-3.966e-04,-0.9,-0.94
-3.947e-04,-0.84,-0.78
-3.927e-04,-0.84,-0.86
-3.908e-04,-0.78,-0.7
-3.889e-04,-0.78,-0.88
-3.870e-04,-0.82,-0.74
-3.851e-04,-0.78,-0.9
-3.831e-04,-0.82,-0.68
-3.812e-04,-0.8,-0.96
-3.793e-04,-0.94,-0.78
-3.774e-04,-0.84,-0.92
-3.755e-04,-0.86,-0.76
-3.735e-04,-0.78,-0.9
-3.716e-04,-0.84,-0.76
-3.697e-04,-0.78,-0.86
-3.678e-04,-0.78,-0.72
-3.659e-04,-0.76,-0.9
-3.639e-04,-0.8,-0.72
-3.620e-04,-0.88,-0.94
-3.601e-04,-0.82,-0.72
-3.582e-04,-0.82,-0.88
-3.563e-04,-0.76,-0.74
-3.543e-04,-0.88,-1.02
-3.524e-04,-0.86,-0.8
-3.505e-04,-0.96,-1
-3.486e-04,-0.8,-0.76
-3.467e-04,-0.82,-0.88
-3.447e-04,-0.76,-0.7
-3.428e-04,-0.8,-0.92
-3.409e-04,-0.8,-0.74
-3.390e-04,-0.82,-0.9
-3.371e-04,-0.82,-0.74
-3.351e-04,-0.76,-0.92
-3.332e-04,-0.9,-0.72
-3.313e-04,-0.76,-0.96
-3.294e-04,-0.8,-0.74
-3.275e-04,-0.84,-0.94
-3.255e-04,-0.84,-0.74
-3.236e-04,-0.8,-0.88
-3.217e-04,-0.84,-0.72
-3.198e-04,-0.74,-0.82
-3.179e-04,-0.76,-0.66
-3.159e-04,-0.72,-0.82
-3.140e-04,-0.72,-0.68
-3.121e-04,-0.78,-0.9
-3.102e-04,-0.78,-0.72
-3.083e-04,-0.88,-0.94
-3.063e-04,-0.82,-0.8
-3.044e-04,-0.9,-0.92
-3.025e-04,-0.8,-0.74
-3.006e-04,-0.82,-0.86
-2.987e-04,-0.78,-0.72
-2.967e-04,-0.8,-0.84
-2.948e-04,-0.74,-0.62
-2.929e-04,-0.66,-0.76
-2.910e-04,-0.68,-0.6
-2.891e-04,-0.64,-0.82
-2.871e-04,-0.7,-0.6
-2.852e-04,-0.72,-0.84
-2.833e-04,-0.82,-0.68
-2.814e-04,-0.74,-0.88
