Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-4.273e-04,-0.75,-0.81
-4.254e-04,-0.73,-0.59
-4.235e-04,-0.63,-0.77
-4.216e-04,-0.73,-0.61
-4.196e-04,-0.69,-0.79
-4.177e-04,-0.75,-0.59
-4.158e-04,-0.61,-0.77
-4.139e-04,-0.73,-0.59
-4.120e-04,-0.71,-0.81
-4.100e-04,-0.79,-0.67
-4.081e-04,-0.77,-0.93
-4.062e-04,-0.83,-0.73
-4.043e-04,-0.83,-0.91
-4.024e-04,-0.83,-0.75
-4.004e-04,-0.91,-0.95
-3.985e-04,-0.85,-0.81
-3.966e-04,-0.87,-0.91
-3.947e-04,-0.77,-0.69
-3.927e-04,-0.75,-0.81
-3.908e-04,-0.67,-0.65
-3.889e-04,-0.77,-0.83
-3.870e-04,-0.75,-0.63
-3.851e-04,-0.67,-0.73
-3.831e-04,-0.57,-0.51
-3.812e-04,-0.57,-0.67
-3.793e-04,-0.57,-0.49
-3.774e-04,-0.53,-0.75
-3.755e-04,-0.61,-0.49
-3.735e-04,-0.69,-0.75
-3.716e-04,-0.63,-0.53
-3.697e-04,-0.57,-0.69
-3.678e-04,-0.63,-0.53
-3.659e-04,-0.65,-0.73
-3.639e-04,-0.65,-0.57
-3.620e-04,-0.59,-0.81
-3.601e-04,-0.75,-0.55
-3.582e-04,-0.71,-0.79
-3.563e-04,-0.71,-0.61
-3.543e-04,-0.69,-0.79
-3.524e-04,-0.69,-0.63
-3.505e-04,-0.71,-0.73
-3.486e-04,-0.63,-0.57
-3.467e-04,-0.67,-0.73
-3.447e-04,-0.65,-0.59
-3.428e-04,-0.71,-0.79
-3.409e-04,-0.69,-0.57
-3.390e-04,-0.67,-0.67
-3.371e-04,-0.57,-0.49
-3.351e-04,-0.61,-0.79
-3.332e-04,-0.73,-0.53
-3.313e-04,-0.69,-0.85
-3.294e-04,-0.79,-0.63
-3.275e-04,-0.77,-0.85
-3.255e-04,-0.79,-0.67
-3.236e-04,-0.71,-0.77
-3.217e-04,-0.73,-0.63
-3.198e-04,-0.65,-0.75
-3.179e-04,-0.69,-0.59
-3.159e-04,-0.71,-0.87
-3.140e-04,-0.85,-0.67
-3.121e-04,-0.77,-0.83
