Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.2262e-01,-1.02,-1.28
-1.2223e-01,-1.08,-0.76
-1.2185e-01,-1.06,-1.22
-1.2147e-01,-1.04,-0.72
-1.2108e-01,-0.96,-1.24
-1.2070e-01,-1,-0.78
-1.2031e-01,-0.96,-1.22
-1.1993e-01,-0.98,-0.78
-1.1955e-01,-1.06,-1.28
-1.1916e-01,-1.1,-0.72
-1.1878e-01,-0.98,-1.28
-1.1839e-01,-0.82,-0.76
-1.1801e-01,-1.04,-1.26
-1.1763e-01,-1.02,-0.78
-1.1724e-01,-1.02,-1.22
-1.1686e-01,-1.06,-0.76
-1.1647e-01,-0.98,-1.28
-1.1609e-01,-1.04,-0.74
-1.1571e-01,-1,-1.26
-1.1532e-01,-0.84,-0.78
-1.1494e-01,-0.96,-1.24
-1.1455e-01,-0.94,-0.78
-1.1417e-01,-1.06,-1.28
-1.1379e-01,-1.1,-0.7
-1.1340e-01,-1.02,-1.32
-1.1302e-01,-0.88,-0.76
-1.1263e-01,-0.92,-1.24
-1.1225e-01,-1.1,-0.72
-1.1187e-01,-0.96,-1.28
-1.1148e-01,-1,-0.76
-1.1110e-01,-0.9,-1.22
-1.1071e-01,-0.96,-0.78
-1.1033e-01,-1.08,-1.24
-1.0995e-01,-1.1,-0.74
-1.0956e-01,-0.98,-1.24
-1.0918e-01,-1,-0.76
-1.0879e-01,-1.04,-1.22
-1.0841e-01,-1,-0.74
-1.0803e-01,-1.1,-1.26
-1.0764e-01,-1.02,-0.74
-1.0726e-01,-1.02,-1.22
-1.0687e-01,-0.88,-0.78
-1.0649e-01,-1.02,-1.24
-1.0611e-01,-1.06,-0.7
-1.0572e-01,-0.98,-1.26
-1.0534e-01,-0.94,-0.8
-1.0495e-01,-1.02,-1.26
-1.0457e-01,-0.96,-0.76
-1.0419e-01,-1.08,-1.26
-1.0380e-01,-0.96,-0.76
-1.0342e-01,-0.94,-1.28
-1.0303e-01,-0.96,-0.72
