Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,3.84025e-06,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.2262e-03,-0.96,-1.12
-1.2223e-03,-1.04,-0.92
-1.2185e-03,-1.04,-1.14
-1.2147e-03,-1.04,-0.96
-1.2108e-03,-0.94,-1
-1.2070e-03,-0.8,-0.72
-1.2031e-03,-0.82,-1.16
-1.1993e-03,-1.12,-0.78
-1.1955e-03,-1.1,-1.14
-1.1916e-03,-1,-0.9
-1.1878e-03,-0.96,-1.14
-1.1839e-03,-1.06,-0.92
-1.1801e-03,-1.06,-1.08
-1.1763e-03,-0.98,-0.86
-1.1724e-03,-0.9,-1.06
-1.1686e-03,-0.84,-0.82
-1.1647e-03,-0.96,-1.08
-1.1609e-03,-1,-0.94
-1.1571e-03,-1.02,-1.08
-1.1532e-03,-0.94,-0.88
-1.1494e-03,-1,-1.12
-1.1455e-03,-1.06,-0.94
-1.1417e-03,-1.06,-1.08
-1.1379e-03,-0.94,-0.82
-1.1340e-03,-0.98,-1.16
-1.1302e-03,-0.92,-0.88
-1.1263e-03,-1.1,-1.16
-1.1225e-03,-0.98,-0.94
-1.1187e-03,-1.08,-1.16
-1.1148e-03,-1.04,-0.98
-1.1110e-03,-1.02,-1.12
-1.1071e-03,-1,-0.9
-1.1033e-03,-1.04,-1.2
-1.0995e-03,-1.08,-0.98
-1.0956e-03,-1.16,-1.16
-1.0918e-03,-1.1,-0.94
-1.0879e-03,-1.02,-1.18
-1.0841e-03,-1.1,-0.94
-1.0803e-03,-1.12,-1.14
-1.0764e-03,-0.98,-0.9
-1.0726e-03,-0.98,-1.14
-1.0687e-03,-1.02,-0.92
-1.0649e-03,-0.96,-1.08
-1.0611e-03,-0.9,-0.88
-1.0572e-03,-0.98,-1.04
-1.0534e-03,-0.94,-0.86
-1.0495e-03,-0.92,-1.08
-1.0457e-03,-0.98,-0.88
-1.0419e-03,-1.06,-1.16
-1.0380e-03,-1.08,-0.96
-1.0342e-03,-1.1,-1.14
-1.0303e-03,-0.96,-0.9
-1.0265e-03,-1,-1.16
-1.0227e-03,-0.88,-0.86
-1.0188e-03,-0.98,-1.1
-1.0150e-03,-1.04,-0.92
-1.0111e-03,-1,-1.12
-1.0073e-03,-1.06,-0.98
-1.0035e-03,-1.04,-1.1
-9.9961e-04,-1,-0.88
-9.9577e-04,-0.92,-1.1
-9.9193e-04,-0.98,-0.84
-9.8809e-04,-1.06,-1.08
-9.8425e-04,-1,-0.82
-9.8041e-04,-0.9,-1.04
-9.7657e-04,-0.94,-0.84
-9.7273e-04,-0.98,-1.04
-9.6889e-04,-0.88,-0.86
-9.6505e-04,-0.92,-1.06
-9.6121e-04,-0.98,-0.86
-9.5737e-04,-0.9,-1.1
-9.5353e-04,-1.04,-0.86
-9.4969e-04,-1,-1.02
-9.4585e-04,-0.98,-0.9
-9.4201e-04,-0.96,-1.08
-9.3817e-04,-0.98,-0.86
-9.3433e-04,-1.04,-1.12
-9.3049e-04,-0.98,-0.86
-9.2665e-04,-1.04,-1.1
-9.2281e-04,-1,-0.9
-9.1897e-04,-0.94,-1.2
