Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,7.68049e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-5.2255e-03,-0.95,-1.09
-5.2178e-03,-1.03,-0.83
-5.2101e-03,-1.03,-1.13
-5.2024e-03,-0.95,-0.85
-5.1947e-03,-0.91,-1.11
-5.1871e-03,-0.93,-0.89
-5.1794e-03,-1.01,-1.09
-5.1717e-03,-1.09,-0.79
-5.1640e-03,-0.89,-1.09
-5.1563e-03,-0.99,-0.81
-5.1487e-03,-1.01,-1.13
-5.1410e-03,-0.89,-0.81
-5.1333e-03,-0.85,-1.09
-5.1256e-03,-1.03,-0.79
-5.1179e-03,-1.03,-1.09
-5.1103e-03,-0.97,-0.81
-5.1026e-03,-0.93,-1.15
-5.0949e-03,-0.99,-0.89
-5.0872e-03,-0.97,-1.15
-5.0795e-03,-1.01,-0.87
-5.0719e-03,-0.99,-1.03
-5.0642e-03,-0.89,-0.79
-5.0565e-03,-0.93,-1.01
-5.0488e-03,-0.91,-0.81
-5.0411e-03,-0.89,-1.03
-5.0334e-03,-0.95,-0.77
-5.0258e-03,-0.87,-1.15
-5.0181e-03,-0.99,-0.79
-5.0104e-03,-0.99,-1.05
-5.0027e-03,-0.89,-0.85
-4.9950e-03,-0.95,-1.17
-4.9874e-03,-1.01,-0.89
-4.9797e-03,-1.09,-1.15
-4.9720e-03,-1.01,-0.83
-4.9643e-03,-0.95,-1.09
-4.9566e-03,-0.97,-0.87
-4.9490e-03,-0.95,-1.13
-4.9413e-03,-1.03,-0.89
-4.9336e-03,-1.05,-1.13
-4.9259e-03,-0.93,-0.85
-4.9182e-03,-1.01,-1.13
-4.9106e-03,-0.99,-0.87
-4.9029e-03,-0.93,-1.07
-4.8952e-03,-0.89,-0.83
-4.8875e-03,-1.05,-1.17
-4.8798e-03,-1.07,-0.93
-4.8722e-03,-1.03,-1.07
-4.8645e-03,-0.87,-0.79
-4.8568e-03,-1.01,-1.09
-4.8491e-03,-0.85,-0.83
-4.8414e-03,-0.91,-1.07
-4.8338e-03,-0.93,-0.83
-4.8261e-03,-1.01,-1.03
-4.8184e-03,-0.95,-0.81
-4.8107e-03,-0.87,-1.07
-4.8030e-03,-0.95,-0.85
-4.7954e-03,-1.01,-1.11
-4.7877e-03,-0.99,-0.85
-4.7800e-03,-1.05,-1.13
-4.7723e-03,-1.11,-0.87
-4.7646e-03,-0.93,-1.05
-4.7570e-03,-0.91,-0.83
-4.7493e-03,-0.89,-1.09
-4.7416e-03,-0.95,-0.83
-4.7339e-03,-0.97,-1.03
-4.7262e-03,-0.97,-0.83
-4.7185e-03,-0.95,-1.13
-4.7109e-03,-0.93,-0.81
-4.7032e-03,-0.99,-1.09
-4.6955e-03,-0.95,-0.77
-4.6878e-03,-0.85,-1.05
-4.6801e-03,-1.01,-0.79
-4.6725e-03,-0.99,-1.11
-4.6648e-03,-0.95,-0.87
-4.6571e-03,-0.99,-1.13
-4.6494e-03,-1.03,-0.93
-4.6417e-03,-1.05,-1.11
-4.6341e-03,-1.03,-0.87
-4.6264e-03,-1.05,-1.17
-4.6187e-03,-1.09,-0.77
-4.6110e-03,-0.79,-0.97
-4.6033e-03,-0.85,-0.73
-4.5957e-03,-0.89,-1.11
-4.5880e-03,-1.07,-0.85
-4.5803e-03,-0.99,-1.11
-4.5726e-03,-1.03,-0.87
-4.5649e-03,-1.01,-1.07
-4.5573e-03,-0.91,-0.85
-4.5496e-03,-0.87,-1.11
-4.5419e-03,-0.91,-0.79
-4.5342e-03,-1.03,-1.05
-4.5265e-03,-1.03,-0.83
-4.5189e-03,-0.97,-1.05
-4.5112e-03,-0.95,-0.85
-4.5035e-03,-0.97,-1.19
-4.4958e-03,-0.95,-0.89
-4.4881e-03,-1.03,-1.11
-4.4805e-03,-1.05,-0.89
-4.4728e-03,-1.03,-1.13
-4.4651e-03,-0.89,-0.83
-4.4574e-03,-0.95,-1.15
-4.4497e-03,-0.99,-0.85
-4.4421e-03,-0.93,-1.11
-4.4344e-03,-0.99,-0.85
-4.4267e-03,-1.11,-1.15
-4.4190e-03,-0.89,-0.71
-4.4113e-03,-0.89,-1.09
-4.4036e-03,-0.89,-0.81
-4.3960e-03,-0.95,-1.13
-4.3883e-03,-1.11,-0.79
-4.3806e-03,-0.99,-1.01
-4.3729e-03,-0.89,-0.77
-4.3652e-03,-0.85,-1.11
-4.3576e-03,-0.91,-0.83
-4.3499e-03,-1.07,-1.17
-4.3422e-03,-0.95,-0.83
-4.3345e-03,-0.91,-0.99
-4.3268e-03,-0.93,-0.79
-4.3192e-03,-0.99,-1.13
-4.3115e-03,-1.05,-0.89
-4.3038e-03,-0.89,-1.05
-4.2961e-03,-0.97,-0.85
-4.2884e-03,-1.05,-1.15
-4.2808e-03,-1.07,-0.85
-4.2731e-03,-0.93,-1.11
-4.2654e-03,-0.99,-0.83
-4.2577e-03,-0.99,-1.09
-4.2500e-03,-0.85,-0.79
-4.2424e-03,-0.95,-1.11
-4.2347e-03,-0.93,-0.81
-4.2270e-03,-1.01,-1.05
-4.2193e-03,-0.89,-0.79
-4.2116e-03,-0.85,-0.99
-4.2040e-03,-0.75,-0.73
-4.1963e-03,-0.85,-1.13
-4.1886e-03,-1.05,-0.77
-4.1809e-03,-0.93,-1.03
-4.1732e-03,-0.91,-0.79
-4.1656e-03,-0.97,-1.07
-4.1579e-03,-0.97,-0.77
-4.1502e-03,-0.87,-1.09
-4.1425e-03,-1.05,-0.77
-4.1348e-03,-1.03,-1.07
-4.1272e-03,-1.01,-0.79
-4.1195e-03,-0.87,-1.09
-4.1118e-03,-0.85,-0.81
-4.1041e-03,-0.95,-1.13
-4.0964e-03,-0.99,-0.89
-4.0887e-03,-0.97,-1.07
-4.0811e-03,-0.99,-0.85
-4.0734e-03,-1.05,-1.15
-4.0657e-03,-0.93,-0.83
-4.0580e-03,-1.01,-1.13
-4.0503e-03,-0.99,-0.83
-4.0427e-03,-1.05,-1.11
