Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-2.7011e-01,-0.84,-0.58
-2.6972e-01,-0.98,-1.18
-2.6934e-01,-0.88,-0.64
-2.6895e-01,-0.96,-1.16
-2.6857e-01,-0.94,-0.66
-2.6819e-01,-0.94,-1.18
-2.6780e-01,-0.96,-0.7
-2.6742e-01,-0.94,-1.16
-2.6703e-01,-1,-0.66
-2.6665e-01,-0.86,-1.14
-2.6627e-01,-1.04,-0.68
-2.6588e-01,-0.94,-1.16
-2.6550e-01,-0.88,-0.66
-2.6511e-01,-0.94,-1.22
-2.6473e-01,-0.78,-0.64
-2.6435e-01,-0.92,-1.14
-2.6396e-01,-0.9,-0.68
-2.6358e-01,-0.78,-1.16
-2.6319e-01,-0.72,-0.68
-2.6281e-01,-0.9,-1.22
-2.6243e-01,-0.92,-0.62
-2.6204e-01,-1,-1.18
-2.6166e-01,-0.9,-0.66
-2.6127e-01,-0.94,-1.18
-2.6089e-01,-0.84,-0.66
-2.6051e-01,-0.92,-1.16
-2.6012e-01,-1,-0.68
-2.5974e-01,-0.94,-1.16
-2.5935e-01,-0.9,-0.66
-2.5897e-01,-1,-1.18
-2.5858e-01,-0.88,-0.72
-2.5820e-01,-0.86,-1.16
-2.5782e-01,-0.8,-0.64
-2.5743e-01,-1,-1.16
-2.5705e-01,-0.9,-0.68
-2.5666e-01,-0.94,-1.18
-2.5628e-01,-0.92,-0.6
-2.5590e-01,-0.92,-1.18
-2.5551e-01,-0.96,-0.64
-2.5513e-01,-0.86,-1.2
-2.5474e-01,-0.96,-0.68
-2.5436e-01,-0.96,-1.18
-2.5398e-01,-0.8,-0.68
-2.5359e-01,-0.92,-1.22
-2.5321e-01,-0.84,-0.64
-2.5282e-01,-0.98,-1.14
-2.5244e-01,-0.82,-0.68
-2.5206e-01,-0.86,-1.2
-2.5167e-01,-0.98,-0.7
-2.5129e-01,-0.98,-1.18
-2.5090e-01,-1,-0.66
-2.5052e-01,-0.98,-1.14
-2.5014e-01,-0.86,-0.66
-2.4975e-01,-0.88,-1.14
-2.4937e-01,-0.92,-0.64
-2.4898e-01,-0.94,-1.22
-2.4860e-01,-1.12,-0.68
-2.4822e-01,-0.88,-1.2
-2.4783e-01,-0.88,-0.66
-2.4745e-01,-0.92,-1.16
-2.4706e-01,-0.88,-0.66
-2.4668e-01,-0.88,-1.16
-2.4630e-01,-0.84,-0.68
-2.4591e-01,-0.9,-1.2
-2.4553e-01,-0.88,-0.68
-2.4514e-01,-1.14,-1.16
-2.4476e-01,-1,-0.68
-2.4438e-01,-0.92,-1.16
-2.4399e-01,-0.9,-0.68
-2.4361e-01,-0.92,-1.16
-2.4322e-01,-0.96,-0.68
-2.4284e-01,-0.86,-1.2
-2.4246e-01,-0.86,-0.72
-2.4207e-01,-0.88,-1.18
-2.4169e-01,-0.92,-0.64
-2.4130e-01,-0.9,-1.14
-2.4092e-01,-0.9,-0.64
-2.4054e-01,-0.8,-1.16
-2.4015e-01,-0.92,-0.68
-2.3977e-01,-0.82,-1.18
-2.3938e-01,-0.98,-0.66
-2.3900e-01,-0.92,-1.2
-2.3862e-01,-1.06,-0.64
-2.3823e-01,-0.88,-1.18
-2.3785e-01,-0.9,-0.62
-2.3746e-01,-0.94,-1.2
-2.3708e-01,-0.86,-0.68
-2.3670e-01,-0.98,-1.16
-2.3631e-01,-0.82,-0.54
-2.3593e-01,-1,-1.16
-2.3554e-01,-0.86,-0.68
-2.3516e-01,-0.98,-1.14
-2.3478e-01,-0.8,-0.68
-2.3439e-01,-0.92,-1.14
-2.3401e-01,-0.78,-0.66
-2.3362e-01,-0.88,-1.16
-2.3324e-01,-0.88,-0.66
-2.3286e-01,-0.84,-1.16
-2.3247e-01,-0.88,-0.68
-2.3209e-01,-0.86,-1.16
-2.3170e-01,-0.98,-0.7
-2.3132e-01,-0.94,-1.16
-2.3094e-01,-0.9,-0.66
-2.3055e-01,-0.94,-1.22
-2.3017e-01,-0.84,-0.66
-2.2978e-01,-0.96,-1.14
-2.2940e-01,-0.94,-0.68
-2.2902e-01,-0.96,-1.16
-2.2863e-01,-0.96,-0.68
-2.2825e-01,-0.88,-1.14
-2.2786e-01,-0.9,-0.66
-2.2748e-01,-0.96,-1.2
-2.2709e-01,-1,-0.64
-2.2671e-01,-0.84,-1.18
-2.2633e-01,-0.82,-0.7
